date,value,error
2012-05-06,20.6781685025,0.212019304906
2012-05-07,20.5798235714,0.103832584734
2012-05-08,20.5875268753,0.0890837102721
2012-05-09,20.8883916746,0.111879100899
2012-05-10,21.0349493649,0.351579222488
2012-05-11,21.1242702655,0.398294863859
2012-05-12,20.9760697447,0.208754306588
2012-05-13,20.8625348059,0.23975798969
2012-05-14,20.4888847311,0.0914104352444
2012-05-15,20.653282537,0.227582622847
2012-05-16,20.0632657201,0.335785128495
2012-05-17,19.2927171119,0.297425209671
2012-05-18,19.3432423098,0.291511522895
2012-05-19,19.4968065997,0.523267499037
2012-05-20,18.9176825751,0.271152497268
2012-05-21,18.7713648369,0.198331474527
2012-05-22,18.5523692134,0.0704899715301
2012-05-23,18.6722721672,0.238635068298
2012-05-24,18.5406071553,0.164533738631
2012-05-25,18.5555203656,0.0782388768031
2012-05-26,18.7436207597,0.083936071626
2012-05-27,19.0626696521,0.0712142635213
2012-05-28,19.5448638337,0.163157845697
2012-05-29,19.7043962824,0.23614408954
2012-05-30,19.2138826675,0.379179238083
2012-05-31,18.0811724071,0.257193709337
2012-06-01,18.012818329,0.153327393025
2012-06-02,18.0344052882,0.148406630954
2012-06-03,18.0218201617,0.095591396143
2012-06-04,18.2171848633,0.187698912766
2012-06-05,17.9595113601,0.073004618751
2012-06-06,18.501705588,0.168028312782
2012-06-07,19.1466401207,0.129220745815
2012-06-08,19.3161303208,0.247002709203
2012-06-09,18.9745990457,0.227132292537
2012-06-10,18.8945826677,0.192257872117
2012-06-11,19.04302661,0.3786297312
2012-06-12,18.5184756479,0.220881321627
2012-06-13,18.1039961341,0.111582159368
2012-06-14,18.3007534022,0.0906079128966
2012-06-15,18.0161843829,0.377305390057
2012-06-16,17.6015901246,0.311238925711
2012-06-17,17.2995181945,0.508658643052
2012-06-18,16.916924707,0.102007377569
2012-06-19,17.2328970193,0.25349738627
2012-06-20,17.8902809548,0.322759210355
2012-06-21,17.7423630866,0.138009221028
2012-06-22,17.7995353658,0.319042094984
2012-06-23,17.7452220876,0.140136525336
2012-06-24,17.5773221754,0.0920729550586
2012-06-25,17.4526154235,0.26918558377
2012-06-26,17.4628363879,0.278373631974
2012-06-27,17.6637609188,0.26767437118
2012-06-28,17.6638268303,0.230667561814
2012-06-29,17.4310048045,0.184603133651
2012-06-30,17.1419315376,0.670021203787
2012-07-01,17.1131212601,0.0397157048914
2012-07-02,17.2129835034,0.0601687264115
2012-07-03,17.589595315,0.242526438829
2012-07-04,17.8949256626,0.343470196466
2012-07-05,17.9756763048,0.369370438984
2012-07-06,17.9545195897,0.364906016677
2012-07-07,18.1690165236,0.489448020571
2012-07-08,17.6461476411,0.235979284034
2012-07-09,17.3260297633,0.12886271493
2012-07-10,17.4156667102,0.162768784413
2012-07-11,17.1126371745,0.1009719566
2012-07-12,17.167919843,0.207456733193
2012-07-13,17.0080799728,0.150401656061
2012-07-14,16.9134821702,0.166910401547
2012-07-15,16.8943884202,0.0809774381595
2012-07-16,17.1238814111,0.108060825173
2012-07-17,17.2038400815,0.260800333504
2012-07-18,17.1517163754,0.0804190875078
2012-07-19,17.1512758675,0.038523939059
2012-07-20,17.3480011404,0.0505868700913
2012-07-21,17.6838520142,0.0605801725256
2012-07-22,17.7978470812,0.0480142360009
2012-07-23,18.1516667465,0.21837635936
2012-07-24,18.5294369122,0.0969866052643
2012-07-25,18.708571716,0.142521472732
2012-07-26,19.094842572,0.256844941109
2012-07-27,18.654358474,0.335931687487
2012-07-28,18.3971413476,0.0968866535203
2012-07-29,18.4752851662,0.0753430866553
2012-07-30,18.7314697259,0.0765400889321
2012-07-31,18.907985008,0.242379134943
2012-08-01,18.9869958448,0.25671782245
2012-08-02,18.6648781714,0.0978178056273
2012-08-03,18.5890704852,0.27127703045
2012-08-04,18.821716545,0.294312071356
2012-08-05,18.8575026257,0.636589816706
