date-time, SO2-flux-a (kg/s), error (kg/s)
2016-05-13T22:46:29.000Z,4.76,2.31
2016-05-13T23:04:13.000Z,6.35,3.08
2016-05-13T23:44:08.000Z,8.13,3.94
2016-05-14T00:28:07.000Z,2.61,1.26
2016-05-14T01:42:47.000Z,4.05,1.97
2016-05-14T01:48:22.000Z,2.61,1.27
2016-05-14T22:10:57.000Z,1.2,0.58
2016-05-14T23:17:29.000Z,2.22,1.08
2016-05-14T23:57:23.000Z,1.93,0.94
2016-05-15T00:28:18.000Z,2.16,1.05
2016-05-15T00:45:48.000Z,0.69,0.34
2016-05-15T00:56:42.000Z,0.2,0.09
2016-05-15T02:09:11.000Z,1.42,0.69
2016-05-15T02:26:55.000Z,1.21,0.59
2016-05-15T02:35:48.000Z,0.49,0.24
2016-05-15T22:24:16.000Z,2.76,1.34
2016-05-15T23:30:48.000Z,1.65,0.8
2016-05-15T23:48:28.000Z,4.29,2.08
2016-05-16T00:14:55.000Z,5.31,2.58
2016-05-16T00:23:42.000Z,0.79,0.39
2016-05-16T00:41:11.000Z,0.72,0.35
2016-05-16T01:31:30.000Z,0.55,0.27
2016-05-16T21:53:13.000Z,2.74,1.33
2016-05-17T00:02:10.000Z,1.51,0.73
2016-05-17T00:24:09.000Z,0.31,0.15
2016-05-17T01:41:23.000Z,0.59,0.29
2016-05-17T01:44:14.000Z,1.27,0.62
2016-05-17T02:17:38.000Z,1.1,0.53
2016-05-17T02:26:30.000Z,1.61,0.78
2016-05-17T02:35:22.000Z,0.85,0.41
2016-05-17T02:39:48.000Z,1.3,0.63
2016-05-18T22:10:57.000Z,10.85,5.27
2016-05-18T23:04:11.000Z,7.91,3.84
2016-05-18T23:08:37.000Z,10.31,5
2016-05-19T00:32:50.000Z,2.38,1.15
2016-05-19T01:08:18.000Z,13.41,6.51
2016-05-19T01:12:41.000Z,1.11,0.54
2016-05-19T01:39:51.000Z,3.02,1.47
2016-05-19T01:53:06.000Z,5.51,2.67
2016-05-19T02:19:41.000Z,9.08,4.4
2016-05-20T23:13:04.000Z,2.94,1.43
2016-05-20T23:39:41.000Z,2.55,1.24
2016-05-20T23:52:55.000Z,3.18,1.54
2016-05-21T00:14:55.000Z,1.98,0.96
2016-05-21T00:41:15.000Z,0.96,0.46
2016-05-21T00:56:32.000Z,0.14,0.07
2016-05-21T21:48:47.000Z,1.37,0.66
2016-05-21T23:35:14.000Z,5.57,2.7
2016-05-21T23:48:33.000Z,4.75,2.3
2016-05-21T23:57:21.000Z,1.44,0.7
2016-05-22T00:15:00.000Z,4.5,2.18
2016-05-22T00:19:26.000Z,5.47,2.65
2016-05-22T01:24:59.000Z,0.27,0.13
2016-05-22T01:36:07.000Z,0.47,0.23
2016-05-22T01:41:41.000Z,0.6,0.29
2016-05-22T01:44:39.000Z,3.25,1.58
2016-05-22T22:37:34.000Z,1.892708333,0.918287037
2016-05-22T22:55:19.000Z,1.986574074,0.963773148
2016-05-22T22:59:45.000Z,1.239814815,0.60150463
2016-05-22T23:04:11.000Z,2.578125,1.250810185
2016-05-22T23:08:37.000Z,2.642592593,1.282060185
2016-05-22T23:13:04.000Z,3.466782407,1.681944444
2016-05-22T23:44:07.000Z,1.768518519,0.857986111
2016-05-22T23:52:57.000Z,3.072569444,1.490625
2016-05-23T00:06:15.000Z,1.664467593,0.807523148
2016-05-23T00:10:39.000Z,1.365509259,0.6625
2016-05-23T00:19:28.000Z,1.920023148,0.931481481
2016-05-23T00:37:05.000Z,6.941087963,3.367476852
2016-05-23T00:54:42.000Z,3.775,1.831365741
2016-05-23T01:03:30.000Z,2.596527778,1.259722222
2016-05-23T01:16:46.000Z,2.767708333,1.342708333
2016-05-23T02:05:28.000Z,1.711342593,0.830208333
2016-05-23T22:15:24.000Z,1.62,0.79
2016-05-23T22:42:00.000Z,3.12,1.51
2016-05-23T22:46:27.000Z,2.83,1.37
2016-05-23T22:59:45.000Z,4.12,2
2016-05-23T23:21:56.000Z,5.54,2.69
2016-05-23T23:26:22.000Z,3.92,1.9
2016-05-24T00:10:32.000Z,9.71,4.71
2016-05-24T00:37:04.000Z,2.69,1.31
2016-05-24T21:53:13.000Z,3.081944444,1.495138889
2016-05-24T22:24:21.000Z,1.147569444,0.556712963
2016-05-24T22:33:13.000Z,2.239814815,1.086574074
2016-05-24T22:42:06.000Z,3.264583333,1.583796296
2016-05-25T21:17:44.000Z,3.368680089,1.634228188
2016-05-25T21:48:47.000Z,2.745302013,1.331879195
2016-05-25T22:24:16.000Z,1.293400447,0.627516779
2016-05-25T23:26:21.000Z,12.22393736,5.930313199
2016-05-25T23:44:05.000Z,6.711744966,3.256152125
2016-05-26T00:06:10.000Z,5.128747204,2.488255034
2016-05-26T00:36:58.000Z,13.73612975,6.663982103
2016-05-26T01:35:26.000Z,1.878187919,0.911185682
2016-05-26T01:43:58.000Z,11.20536913,5.436129754
2016-05-26T01:49:32.000Z,3.271588367,1.587136465
2016-05-26T01:55:10.000Z,6.003355705,2.912527964
2016-05-26T23:08:37.000Z,3.390740741,1.645023148
2016-05-26T23:17:30.000Z,4.2375,2.055787037
2016-05-27T00:01:50.000Z,1.083912037,0.525810185
2016-05-27T00:19:25.000Z,0.633796296,0.307407407
2016-05-27T00:28:16.000Z,0.906944444,0.440046296
2016-05-27T01:16:48.000Z,0.940162037,0.456134259
2016-05-27T02:01:02.000Z,0.659953704,0.320138889
2016-05-27T02:23:13.000Z,0.884837963,0.429282407
2016-05-28T00:25:49.000Z,1.547222222,0.750578704
2016-05-28T00:39:07.000Z,1.682523148,0.816319444
2016-05-28T00:52:19.000Z,1.684722222,0.817361111
2016-05-28T01:01:05.000Z,0.367476852,0.178240741
2016-05-28T01:29:19.000Z,0.45625,0.221412037
2016-05-28T01:48:55.000Z,2.424074074,1.176041667
2016-05-28T02:06:40.000Z,0.904398148,0.438773148
2016-05-28T02:28:51.000Z,1.791666667,0.869212963
2016-05-28T02:46:35.000Z,2.179050926,1.057175926
2016-05-28T03:04:20.000Z,2.295601852,1.113657407
2016-05-28T03:17:38.000Z,2.242013889,1.087731481
2016-05-28T03:30:57.000Z,0.8625,0.418402778
2016-05-29T21:53:13.000Z,2.200231481,1.067361111
2016-05-29T22:46:32.000Z,0.891087963,0.432291667
2016-05-29T23:57:26.000Z,1.990393519,0.965625
2016-05-30T00:06:18.000Z,9.881365741,4.793865741
2016-05-30T00:28:15.000Z,0.887384259,0.430555556
2016-05-30T00:37:00.000Z,0.946180556,0.459027778
2016-05-30T00:45:45.000Z,1.460185185,0.708449074
2016-05-30T01:42:45.000Z,1.233333333,0.59837963
2016-05-30T02:51:45.000Z,2.831944444,1.373958333
2016-05-30T03:09:30.000Z,1.890277778,0.917013889
2016-05-30T22:19:50.000Z,1.963078704,0.952430556
2016-05-30T22:37:34.000Z,1.548958333,0.75150463
2016-05-30T22:50:53.000Z,4.893402778,2.373958333
2016-05-30T23:52:59.000Z,10.48587963,5.087152778
2016-05-31T00:01:50.000Z,2.065625,1.002083333
2016-05-31T00:10:39.000Z,5.05150463,2.450694444
