Volcano Name	VNUM	Latitude	Longitude	Region	Sub-region	Volcano Type	Unit name	Eruption start day	Eruption start month	Eruption start year	Year BP	Date Error	Dating technique	Date quality	Alternate values	Citation	Tephra fall deposit volume	Qualifier	Error	Alternate values	Citation	Tephra fall DRE volume	Qualifier	Error	Quality	Alternate values	Citation	Ignimbrite deposit volume	Qualifier	Error	Quality	Alternate values	Citation	Ignimbrite DRE volume	Qualifier	Error	Quality	Alternate values	Citation	Primary intra caldera deposit volume	Qualifier	Error	Quality	Alternate values	Citation	Primary intra caldera DRE volume	Qualifier	Error	Quality	Alternate values	Citation	Bulk deposit volume	Qualifier	Error	Quality	Alternate values	Citation	Bulk DRE volume	Qualifier	Error	Quality	Alternate values	Citation	Magma Type	Magma Density	Magnitude	Qualifier	Derivation	Alternate values	Citation	VEI	Qualifier	Derivation	Alternate values	Citation	Column height Min	Citation	Column height Max	Citation	Column height Average	Citation	Alternate values	Intensity Min	Citation	Intensity Max	Citation	Intensity Average	Citation	Alternate values
Ahyi	284141	20.41666667	145.0333333	"Japan, Taiwan, Marianas"	"Izu, Volcano, & Mariana Islands"	Submarine volcano(es)																																																																												No							No
Aird Hills	253814	-7.45	144.35	Melanesia and Australia	New Guinea & D'Entrecasteaux Islands	Not Available																																																																												No							No
Aitutaki	333805	-18.9	-159.7666667	Hawaii and Pacific Ocean	Society Is-C Pacific	Not Available																																																																												No							No
Aizu Nunobiki	283866	37.32111111	140.0175	"Japan, Taiwan, Marianas"	Honshu	Not Available																																																																												No							No
"Ajencha, Cerro"	555934	-20.66666667	-67.41666667	South America	"Northen Chile, Bolivia & Argentina"	Not Available																																																																												No							No
"Ajoya, 1"	555876	-18.26666667	-69.23333333	South America	Pacific Ocean (Chilean Islands)	Stratovolcano(es)																																																																												No							No
Akademia Nauk	300125	53.98	159.45	Kamchatka and Mainland Asia	Kamchatka Peninsula	Stratovolcano(es)	Akademy Nauk Caldera				32950		Fission track	Medium quality	No	Bindeman et al (2010)																																				0.1	>=		0	No		0.04	>=		0	No		Andesite-Dacite		4	>=	Assumed	No		4	>=	Assumed	No								No							No
Akademia Nauk	300125	53.98	159.45	Kamchatka and Mainland Asia	Kamchatka Peninsula	Stratovolcano(es)	Akademy Nauk Caldera				32950		Fission track	Medium quality	No	Smithsonian Pleistocene Database																																				0.1	>=		0	No		0.04	>=		0	No		Andesite-Dacite		4	>=	Assumed	No		4	>=	Assumed	No								No							No
Akademia Nauk	300125	53.98	159.45	Kamchatka and Mainland Asia	Kamchatka Peninsula	Stratovolcano(es)	Caldera formation - Odnoboky O2 tuffs				69400		Ar-Ar	High quality	No	Bindeman et al (2010)																																				12.5		2.5	1	No	Smithsonian Pleistocene Database	5.2		1	1	No		Dacite		6.1		Calculated	No		6		Literature	No	Smithsonian Pleistocene Database							No							No
Akademia Nauk	300125	53.98	159.45	Kamchatka and Mainland Asia	Kamchatka Peninsula	Stratovolcano(es)	Caldera formation - Odnoboky O1 tuffs				95000		Not Available	Medium quality	No	Leonov and Grib (2005)																																				0.1	>=		0	No		0.04	>=		0	No		Dacite		4	>=	Assumed	No		4	>=	Assumed	No								No							No
